greenhouse_id,crop_type,variety,planting_date,harvest_date,days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,soil_pH,yield_kg_per_m2
1,Tomato,Beefsteak,02-11-23,08-01-24,67,27.6,25.8,30.6,73.6,917,16821,10,9.8,167,74,154,1.3,6.1,9.19
3,Cucumber,English,01-11-23,03-01-24,63,24.4,21,27.3,80.8,782,27483,10,9.2,174,82,126,3.2,6.3,7.42
5,Tomato,Beefsteak,02-02-23,19-04-23,76,23.9,20.6,26,76.6,821,30516,10,7,234,64,243,1.2,6,20.86
5,Tomato,Heirloom,29-07-23,21-10-23,84,26.7,25.5,29.6,76.1,710,43580,15.1,5.4,167,63,234,0.8,6,22.09
4,Cucumber,Slicing,07-02-23,15-04-23,67,24.1,22.4,26.5,69.8,921,22283,10,8.4,102,98,173,1.1,7.4,6.42
4,Cucumber,Pickling,05-05-23,25-06-23,51,24.3,23.2,26.3,72.4,754,38824,14.8,11.6,159,81,154,3.9,6.3,8.65
5,Tomato,Roma,27-03-23,02-06-23,67,22.9,20.4,25.3,75,866,29717,12.4,8.2,174,104,205,0.5,6.9,15.68
2,Tomato,Heirloom,14-09-23,19-11-23,66,25.1,24.1,27.1,72.1,1012,33943,12.4,9,210,84,216,1.4,6.8,13.69
1,Pepper,Jalapeno,06-04-23,21-06-23,76,24.3,22.9,25.4,63.9,674,24427,13.1,9,134,90,184,0.8,6.6,10.06
4,Tomato,Heirloom,11-08-23,09-11-23,90,26.5,24.6,28.1,84.2,742,36325,14.5,9.1,155,92,200,2.1,6.2,13.81
4,Lettuce,Iceberg,05-10-23,05-11-23,31,16.7,14.3,18.7,82.3,503,33328,10.9,6.9,100,49,117,0,7.3,5.31
2,Pepper,Habanero,12-05-23,09-08-23,89,26.4,24.9,27.7,59.8,785,46399,15.1,6.2,127,45,141,1.9,6.1,11.77
1,Tomato,Roma,12-04-23,25-06-23,74,26.1,23.6,27.6,82.3,880,34404,13.5,4.3,161,111,157,1,6.5,24.92
4,Pepper,Jalapeno,02-09-23,12-11-23,71,26.3,25.1,28.8,72.9,786,40350,13.2,4.9,200,78,157,0.4,6.5,16.36
1,Tomato,Roma,15-05-23,14-07-23,60,23.5,21.4,25.3,87.5,713,38094,15.2,8.3,209,80,249,1.7,6.2,19.24
2,Tomato,Cherry,17-01-23,21-03-23,63,20.6,19.2,22.9,77.4,840,12770,10,4.6,160,83,196,1.6,7.2,16.26
5,Tomato,Cherry,19-12-23,18-02-24,61,28.6,26.9,29.9,77.6,724,24463,10,8.8,195,111,157,0.8,6.4,9.6
5,Tomato,Beefsteak,27-11-23,22-02-24,87,21.1,20.1,22.8,79.9,489,25660,10,5.6,,,,3.1,6.7,17.95
3,Lettuce,Romaine,26-07-23,28-08-23,33,18.5,15.7,20.8,68,964,31774,15.3,6.5,132,50,114,2.8,6.6,8.74
3,Tomato,Heirloom,25-12-23,28-02-24,65,21.8,20.3,23.3,76.4,908,20520,10,4.2,160,115,229,3,6.4,19.49
2,Cucumber,Pickling,10-12-23,13-02-24,65,26,24.5,27.7,93.9,656,19911,10,7.7,137,72,155,2.2,6.6,8.23
3,Lettuce,Butterhead,12-11-23,22-12-23,40,,,,,,,10,7.6,132,54,104,2.2,6.4,5.52
2,Tomato,Heirloom,26-10-23,28-12-23,63,26.5,25.4,28,80,677,28242,10,5.1,172,78,205,2.3,6.5,20.56
5,Pepper,Jalapeno,14-03-23,25-05-23,72,26.2,24.8,27.8,78.9,969,29038,11.5,3.3,142,83,187,4,6.8,8.89
2,Cucumber,English,03-03-23,24-04-23,52,23.2,21.3,24.9,91.6,714,24825,10.8,7.5,154,42,187,2.7,6.9,8.09
4,Tomato,Roma,10-07-23,17-09-23,69,23.3,20.4,24.8,87.2,864,36060,15.8,6.6,197,113,210,1.3,7.1,19.11
1,Tomato,Heirloom,18-07-23,22-09-23,66,27.2,24,30.5,64.3,830,41365,15.6,9.1,211,56,220,1.3,6.8,16.88
1,Tomato,Roma,17-08-23,18-10-23,62,25.3,22.4,28.6,82,546,30404,14.2,6.9,235,59,238,2.4,6.8,19.14
4,Lettuce,Romaine,16-10-23,28-11-23,43,10.6,8.4,12,62.3,898,20300,10.2,2.9,135,36,81,0.4,6.2,5.4
5,Tomato,Heirloom,12-05-23,02-08-23,82,24.7,22.3,27.1,77.9,652,46256,15.1,5.9,191,104,200,1.1,7,26.3
